,fecha,tiempo_salida,tiempo_llegada,duracion_vuelo,tarifas
0,"Resultados de vuelos del día martes, 21 de febrero de 2023.","4:00 p. m.
MEX","4:45 p. m.
+1
GIG",21 h 45 min,"[1474.85, 1657.85, 1863.85, 5322.85]"
1,"Resultados de vuelos del día martes, 21 de febrero de 2023.","4:00 p. m.
MEX","7:45 p. m.
+1
GIG",24 h 45 min,"[1474.85, 1657.85, 1863.85]"
2,"Resultados de vuelos del día martes, 21 de febrero de 2023.","4:00 p. m.
MEX","8:30 p. m.
+1
SDU",25 h 30 min,"[1474.85, 1657.85, 1863.85, 5322.85]"
3,"Resultados de vuelos del día martes, 21 de febrero de 2023.","4:00 p. m.
MEX","9:20 p. m.
+1
SDU",26 h 20 min,"[1474.85, 1657.85, 1863.85]"
4,"Resultados de vuelos del día martes, 21 de febrero de 2023.","4:55 p. m.
MEX","8:20 a. m.
+1
SDU",12 h 25 min,"[1474.85, 1657.85, 1863.85, 5322.85]"
5,"Resultados de vuelos del día martes, 21 de febrero de 2023.","4:55 p. m.
MEX","8:25 a. m.
+1
GIG",12 h 30 min,"[1474.85, 1657.85, 1863.85]"
6,"Resultados de vuelos del día miércoles, 22 de febrero de 2023.","4:00 p. m.
MEX","4:45 p. m.
+1
GIG",21 h 45 min,"[1474.85, 1657.85, 1863.85, 5322.85]"
7,"Resultados de vuelos del día miércoles, 22 de febrero de 2023.","4:00 p. m.
MEX","4:30 p. m.
+1
GIG",21 h 30 min,"[1474.85, 1657.85, 1863.85]"
8,"Resultados de vuelos del día miércoles, 22 de febrero de 2023.","4:55 p. m.
MEX","8:25 a. m.
+1
GIG",12 h 30 min,"[1474.85, 1657.85, 1863.85, 5322.85]"
9,"Resultados de vuelos del día miércoles, 22 de febrero de 2023.","4:55 p. m.
MEX","9:50 a. m.
+1
GIG",13 h 55 min,"[1474.85, 1657.85, 1863.85]"
10,"Resultados de vuelos del día miércoles, 22 de febrero de 2023.","4:55 p. m.
MEX","11:05 a. m.
+1
SDU",15 h 10 min,"[1474.85, 1657.85, 1863.85, 5322.85]"
11,"Resultados de vuelos del día miércoles, 22 de febrero de 2023.","4:55 p. m.
MEX","11:10 a. m.
+1
GIG",15 h 15 min,"[1474.85, 1657.85, 1863.85]"
12,"Resultados de vuelos del día jueves, 23 de febrero de 2023.","4:00 p. m.
MEX","4:45 p. m.
+1
GIG",21 h 45 min,"[1474.85, 1657.85, 1863.85, 5322.85]"
13,"Resultados de vuelos del día jueves, 23 de febrero de 2023.","4:00 p. m.
MEX","4:15 p. m.
+1
GIG",21 h 15 min,"[1474.85, 1657.85, 1863.85]"
14,"Resultados de vuelos del día jueves, 23 de febrero de 2023.","4:00 p. m.
MEX","8:25 p. m.
+1
GIG",25 h 25 min,"[1474.85, 1657.85, 1863.85, 5322.85]"
15,"Resultados de vuelos del día jueves, 23 de febrero de 2023.","4:00 p. m.
MEX","8:25 p. m.
+1
GIG",25 h 25 min,"[1474.85, 1657.85, 1863.85]"
16,"Resultados de vuelos del día jueves, 23 de febrero de 2023.","7:30 p. m.
MEX","4:15 p. m.
+1
GIG",17 h 45 min,"[1474.85, 1657.85, 1863.85, 5322.85]"
17,"Resultados de vuelos del día jueves, 23 de febrero de 2023.","7:30 p. m.
MEX","8:25 p. m.
+1
GIG",21 h 55 min,"[1474.85, 1657.85, 1863.85]"
